province_id,name,x,y
0,Las Palmas,6140.0,2667.0
1,Murmansk,7392.0,698.0
2,Apatity,7454.0,810.0
3,Ivalo,7248.0,742.0
4,Enontekiö,7137.0,748.0
5,Rovaniemi,7183.0,869.0
6,Oulu,7190.0,935.0
7,Kokkola,7114.0,1023.0
8,Vaasa,7069.0,1085.0
9,Pori,7076.0,1158.0
10,Manchester,5955.0,1604.0
11,Turku,7090.0,1256.0
12,Jyväskylä,7189.0,1095.0
13,Tampere,7146.0,1197.0
14,Helsinki,7198.0,1267.0
15,Lappeenranta,7311.0,1217.0
16,Joensuu,7365.0,1106.0
17,Kem,7423.0,972.0
18,Iisalmi,7293.0,1048.0
19,Kuusamo,7296.0,905.0
20,Loukhi,7351.0,885.0
21,Tetrino,7561.0,882.0
22,Kiruna,7040.0,767.0
23,Luleå,7082.0,871.0
24,Arjeborg,6945.0,869.0
25,Umeå,7038.0,992.0
26,Vilhelmina,6926.0,957.0
27,Östersund,6872.0,1051.0
28,Stockholm,6971.0,1322.0
29,Malmö,6770.0,1568.0
30,Härnösand,6956.0,1099.0
31,Falun,6910.0,1217.0
32,Lofsdalen,6797.0,1119.0
33,Mora,6848.0,1199.0
34,Karlstad,6794.0,1333.0
35,Gothenburg,6741.0,1451.0
36,Linköping,6873.0,1397.0
37,Växjö,6841.0,1493.0
38,Visby,6988.0,1452.0
39,Rosenheim,6689.0,2098.0
40,Narvik,6916.0,768.0
41,Brześć,7218.0,1771.0
42,Alta,7101.0,663.0
43,Bodø,6838.0,838.0
44,Steinkjer,6719.0,1014.0
45,Trondheim,6696.0,1062.0
46,Oslo,6710.0,1308.0
47,Dęblin,7135.0,1828.0
48,Hamar,6722.0,1213.0
49,Mazyr,7493.0,1766.0
50,Bergen,6516.0,1236.0
51,Stryn,6582.0,1145.0
52,Rjukan,6613.0,1287.0
53,Kristiansand,6594.0,1384.0
54,Tallinn,7226.0,1307.0
55,Haapsalu,7174.0,1339.0
57,Bern,6440.0,2151.0
58,Pärnu,7223.0,1384.0
59,Valga,7267.0,1411.0
60,London,6085.0,1779.0
61,Cēsis,7225.0,1424.0
62,Riga,7192.0,1470.0
63,Ludza,7289.0,1498.0
64,Daugavpils,7245.0,1527.0
65,Vilnius,7209.0,1571.0
66,Alytus,7168.0,1632.0
67,Kaunas,7160.0,1582.0
68,Tauragė,7099.0,1537.0
69,Klaipėda,7082.0,1498.0
70,Talsi,7131.0,1439.0
71,Athlone,5684.0,1591.0
72,Danzig,6984.0,1636.0
73,Bydgoszcz,6965.0,1723.0
74,Poznań,6880.0,1779.0
75,Warsaw,7073.0,1795.0
76,Łódź,6991.0,1836.0
77,Płock,7036.0,1768.0
78,Kraków,7033.0,1948.0
79,Lwów,7257.0,1944.0
80,Tarnów,7079.0,1951.0
81,Lublin,7180.0,1860.0
82,Kielce,7075.0,1893.0
83,Łomża,7138.0,1727.0
84,Wilno,7306.0,1529.0
85,Lida,7274.0,1628.0
86,Stanisławów,7297.0,1982.0
87,Brody,7327.0,1901.0
88,Sarny,7352.0,1794.0
89,Kowel,7264.0,1803.0
90,Edinburgh,5911.0,1388.0
91,Lutsk,7418.0,1833.0
92,Kiev,7566.0,1882.0
93,Odessa,7559.0,2061.0
94,Salisbury,5970.0,1827.0
95,Kharkiv,7716.0,1863.0
96,Stalino,7745.0,1972.0
97,Luhansk,7790.0,1918.0
98,Poltava,7714.0,1907.0
99,Cherkasy,7621.0,1912.0
100,Chernihiv,7566.0,1812.0
101,Zaporizhzhia,7704.0,1990.0
102,Dnipropetrovsk,7701.0,1960.0
103,Sevastopol,7626.0,2140.0
104,Melitopol,7667.0,2057.0
105,Kirovohrad,7623.0,1961.0
106,Vinnytsia,7488.0,1938.0
107,Lviv,7385.0,1898.0
108,Zhytomyr,7506.0,1880.0
109,Mykolayiv,7577.0,2026.0
110,Ternopil,7439.0,1896.0
111,Uman,7543.0,1964.0
112,Korosten,7507.0,1830.0
113,Hamburg,6617.0,1688.0
114,Kiel,6625.0,1643.0
115,Dresden,6748.0,1873.0
116,Berlin,6751.0,1759.0
117,Cologne,6448.0,1885.0
118,Munich,6661.0,2071.0
119,Osnabrück,6513.0,1781.0
120,Bremen,6555.0,1703.0
121,Hannover,6618.0,1759.0
122,Rostock,6721.0,1676.0
123,Stettin,6826.0,1712.0
124,Kolberg,6901.0,1667.0
125,Königsberg,7063.0,1639.0
126,Küstrin,6809.0,1781.0
127,Magdeburg,6695.0,1775.0
128,Oppeln,6951.0,1909.0
129,Breslau,6906.0,1870.0
130,Leipzig,6712.0,1862.0
131,Düsseldorf,6443.0,1844.0
132,Frankfurt,6467.0,1924.0
133,Stuttgart,6487.0,2020.0
134,Saarbrücken,6410.0,1974.0
135,Freiburg,6435.0,2099.0
136,Augsburg,6612.0,2058.0
137,Nuremberg,6641.0,2007.0
138,Würzburg,6540.0,1963.0
139,Kassel,6526.0,1888.0
140,Erfurt,6634.0,1922.0
141,Mogilev,7463.0,1619.0
142,Gomel,7527.0,1710.0
143,Esbjerg,6568.0,1541.0
144,Rock Springs,1943.0,1955.0
145,Frederikshavn,6658.0,1438.0
146,Žlobin,7489.0,1691.0
147,Babruysk,7405.0,1664.0
148,Przemyśl,7177.0,1944.0
149,Zürich,6510.0,2119.0
150,Viborg,6605.0,1504.0
151,Aarhus,6624.0,1538.0
152,Chur,6542.0,2174.0
153,Lugano,6503.0,2232.0
154,Odense,6648.0,1567.0
155,Copenhagen,6727.0,1556.0
156,Lausanne,6386.0,2193.0
157,Næstved,6696.0,1587.0
158,Vienna,6910.0,2060.0
159,Polotsk,7343.0,1485.0
160,Minsk,7334.0,1613.0
161,Vitsebsk,7449.0,1496.0
162,Barysaw,7368.0,1583.0
163,Slutsk,7353.0,1683.0
164,Lahti,7210.0,1217.0
165,Sankt Pölten,6849.0,2072.0
166,Graz,6838.0,2159.0
167,Salzburg,6744.0,2111.0
168,Innsbruck,6650.0,2163.0
169,Prague,6799.0,1959.0
170,Liberec,6818.0,1912.0
171,Pilsen,6760.0,1982.0
172,Ostrava,6942.0,1973.0
173,Brno,6871.0,2011.0
174,Žilina,7014.0,1994.0
175,Košice,7153.0,2006.0
176,Mukačevo,7247.0,2026.0
177,Bratislava,6943.0,2059.0
178,Banská Bystrica,7036.0,2035.0
179,Amsterdam,6361.0,1745.0
180,Rotterdam,6332.0,1764.0
181,Den Helder,6344.0,1724.0
182,Groningen,6430.0,1697.0
183,Eindhoven,6383.0,1801.0
184,Brussels,6319.0,1838.0
185,Brugge,6270.0,1821.0
186,Antwerpen,6303.0,1805.0
187,Namur,6332.0,1873.0
188,Bastogne,6360.0,1879.0
189,Luxemburg,6371.0,1908.0
190,Cork,5655.0,1714.0
191,Dublin,5764.0,1590.0
192,Waterford,5736.0,1675.0
193,Galway,5630.0,1605.0
194,Belfast,5769.0,1489.0
