province_id,name,marker_index,x,y,terrain_type_id,terrain_type
24,Arjeborg,0,6888.0,881.0,12,Mountain
24,Arjeborg,1,6915.0,848.0,12,Mountain
24,Arjeborg,2,6916.0,872.0,12,Mountain
24,Arjeborg,3,6917.0,889.0,12,Mountain
24,Arjeborg,4,6929.0,832.0,12,Mountain
24,Arjeborg,5,6934.0,874.0,12,Mountain
24,Arjeborg,6,6935.0,853.0,12,Mountain
24,Arjeborg,7,6941.0,813.0,12,Mountain
24,Arjeborg,8,6949.0,841.0,12,Mountain
24,Arjeborg,9,6960.0,798.0,12,Mountain
24,Arjeborg,10,6967.0,833.0,12,Mountain
24,Arjeborg,11,6969.0,823.0,12,Mountain
24,Arjeborg,12,6976.0,797.0,12,Mountain
24,Arjeborg,13,6983.0,832.0,12,Mountain
40,Narvik,0,6870.0,805.0,12,Mountain
40,Narvik,1,6887.0,793.0,12,Mountain
40,Narvik,2,6889.0,815.0,12,Mountain
40,Narvik,3,6905.0,803.0,12,Mountain
40,Narvik,4,6907.0,790.0,12,Mountain
40,Narvik,5,6921.0,786.0,12,Mountain
40,Narvik,6,6922.0,772.0,12,Mountain
40,Narvik,7,6923.0,748.0,12,Mountain
40,Narvik,8,6933.0,732.0,12,Mountain
40,Narvik,9,6935.0,757.0,12,Mountain
40,Narvik,10,6948.0,734.0,12,Mountain
40,Narvik,11,6948.0,760.0,12,Mountain
40,Narvik,12,6949.0,716.0,12,Mountain
40,Narvik,13,6966.0,720.0,12,Mountain
40,Narvik,14,6966.0,731.0,12,Mountain
40,Narvik,15,6986.0,724.0,12,Mountain
40,Narvik,16,7004.0,711.0,12,Mountain
42,Alta,0,7031.0,677.0,12,Mountain
42,Alta,1,7036.0,693.0,12,Mountain
42,Alta,2,7055.0,673.0,12,Mountain
42,Alta,3,7075.0,663.0,12,Mountain
42,Alta,4,7106.0,671.0,12,Mountain
42,Alta,5,7117.0,654.0,12,Mountain
42,Alta,6,7123.0,686.0,12,Mountain
42,Alta,7,7137.0,640.0,12,Mountain
42,Alta,8,7140.0,662.0,12,Mountain
42,Alta,9,7155.0,707.0,12,Mountain
42,Alta,10,7166.0,670.0,12,Mountain
