province_id,province_name,component_count,min_x_raw,min_y_raw,max_x_raw,max_y_raw,min_x,min_y,max_x,max_y
0,Las Palmas,1,97894,42210,98733,42987,6118.375,2638.125,6170.8125,2686.6875
1,Murmansk,1,117888,10612,118816,11536,7368.0,663.25,7426.0,721.0
2,Apatity,1,117312,10693,121149,13984,7332.0,668.3125,7571.8125,874.0
3,Ivalo,1,114688,10247,118499,12592,7168.0,640.4375,7406.1875,787.0
4,Enontekiö,1,113168,10880,116112,13888,7073.0,680.0,7257.0,868.0
5,Rovaniemi,1,114204,12480,117408,15115,7137.75,780.0,7338.0,944.6875
6,Oulu,1,114560,14446,115551,15456,7160.0,902.875,7221.9375,966.0
7,Kokkola,1,113155,14963,115984,17632,7072.1875,935.1875,7249.0,1102.0
8,Vaasa,1,112541,17004,113456,17680,7033.8125,1062.75,7091.0,1105.0
9,Pori,1,112566,17390,114240,19938,7035.375,1086.875,7140.0,1246.125
10,Manchester,1,94992,25296,95696,25936,5937.0,1581.0,5981.0,1621.0
11,Turku,2,112539,19205,115073,20922,7033.6875,1200.3125,7192.0625,1307.625
12,Jyväskylä,1,113952,16720,116560,19280,7122.0,1045.0,7285.0,1205.0
13,Tampere,1,113716,18800,115055,19607,7107.25,1175.0,7190.9375,1225.4375
14,Helsinki,1,114864,19984,115757,20710,7179.0,1249.0,7234.8125,1294.375
15,Lappeenranta,1,115456,17792,118144,20342,7216.0,1112.0,7384.0,1271.375
16,Joensuu,1,116418,16976,120016,19202,7276.125,1061.0,7501.0,1200.125
17,Kem,1,117408,15232,119470,17360,7338.0,952.0,7466.875,1085.0
18,Iisalmi,1,115600,15936,117856,17347,7225.0,996.0,7366.0,1084.1875
19,Kuusamo,1,115468,14048,118096,16112,7216.75,878.0,7381.0,1007.0
20,Loukhi,1,116848,12912,119138,15392,7303.0,807.0,7446.125,962.0
21,Tetrino,1,119111,11373,122465,14321,7444.4375,710.8125,7654.0625,895.0625
22,Kiruna,1,111040,11168,114336,14368,6940.0,698.0,7146.0,898.0
23,Luleå,1,112848,13600,113776,14489,7053.0,850.0,7111.0,905.5625
