country_id,nation_name,nation_adjective,nation_title,capital_province_id,nationality_id,faction_id,primary_color_rgba,primary_color_hex,secondary_color_rgba,secondary_color_hex
1,Finland,Finnish,Prime Minister,14,1,1,"rgba(110,143,147,255)",#6E8F93,"rgba(255,255,255,255)",#FFFFFF
2,Norway,Norwegian,Prime Minister,46,2,2,"rgba(103,140,109,255)",#678C6D,"rgba(255,255,255,255)",#FFFFFF
3,Belarus,Belorussian,Prime Minister,160,3,3,"rgba(96,131,103,255)",#608367,"rgba(255,255,255,255)",#FFFFFF
4,Lithuania,Lithuanian,Prime Minister,62,4,1,"rgba(183,176,121,255)",#B7B079,"rgba(255,255,255,255)",#FFFFFF
5,Poland,Polish,Prime Minister,75,5,2,"rgba(125,144,129,255)",#7D9081,"rgba(255,255,255,255)",#FFFFFF
6,Ukraine,Ukrainian,President,92,6,3,"rgba(240,206,142,255)",#F0CE8E,"rgba(255,255,255,255)",#FFFFFF
7,Romania,Romanian,Prime Minister,338,7,1,"rgba(130,68,29,255)",#82441D,"rgba(255,255,255,255)",#FFFFFF
8,Bulgaria,Bulgarian,Prime Minister,379,8,1,"rgba(114,132,118,255)",#728476,"rgba(255,255,255,255)",#FFFFFF
9,Turkey,Turkish,President,411,9,3,"rgba(143,123,68,255)",#8F7B44,"rgba(255,255,255,255)",#FFFFFF
10,Greece,Greek,Prime Minister,388,10,2,"rgba(109,143,147,255)",#6D8F93,"rgba(255,255,255,255)",#FFFFFF
11,Albania,Albanian,Prime Minister,204,11,3,"rgba(204,163,115,255)",#CCA373,"rgba(255,255,255,255)",#FFFFFF
12,Czechoslovakia,Czech,Prime Minister,169,12,3,"rgba(155,106,40,255)",#9B6A28,"rgba(255,255,255,255)",#FFFFFF
13,Austria,Austrian,Chancellor,158,13,1,"rgba(202,164,115,255)",#CAA473,"rgba(255,255,255,255)",#FFFFFF
14,Switzerland,Swiss,Federal Chancellor,149,14,1,"rgba(142,105,65,255)",#8E6941,"rgba(255,255,255,255)",#FFFFFF
15,Germany,German,Chancellor,116,15,1,"rgba(147,65,47,255)",#93412F,"rgba(255,255,255,255)",#FFFFFF
16,Italy,Italian,Prime Minister,245,16,1,"rgba(144,174,119,255)",#90AE77,"rgba(255,255,255,255)",#FFFFFF
17,Yugoslavia,Yugoslavian,King,358,17,3,"rgba(122,129,80,255)",#7A8150,"rgba(255,255,255,255)",#FFFFFF
18,France,French,President,267,18,2,"rgba(108,144,147,255)",#6C9093,"rgba(255,255,255,255)",#FFFFFF
19,Belgium,Belgian,Prime Minister,184,19,2,"rgba(229,187,95,255)",#E5BB5F,"rgba(255,255,255,255)",#FFFFFF
