province_id,province_name,initial_owner_id,initial_owner_name,initial_owner_color,core_country_id,captured_day0_owner_id,core_matches_captured_owner
0,Las Palmas,24,Spain,#CCA373,24,24,True
1,Murmansk,1,Finland,#6E8F93,1,1,True
2,Apatity,1,Finland,#6E8F93,1,1,True
3,Ivalo,1,Finland,#6E8F93,1,1,True
4,Enontekiö,1,Finland,#6E8F93,1,1,True
5,Rovaniemi,1,Finland,#6E8F93,1,1,True
6,Oulu,1,Finland,#6E8F93,1,1,True
7,Kokkola,1,Finland,#6E8F93,1,1,True
8,Vaasa,1,Finland,#6E8F93,1,1,True
9,Pori,1,Finland,#6E8F93,1,1,True
10,Manchester,21,United Kingdom,#7A8054,21,21,True
11,Turku,1,Finland,#6E8F93,1,1,True
12,Jyväskylä,1,Finland,#6E8F93,1,1,True
13,Tampere,1,Finland,#6E8F93,1,1,True
14,Helsinki,1,Finland,#6E8F93,1,1,True
15,Lappeenranta,1,Finland,#6E8F93,1,1,True
16,Joensuu,1,Finland,#6E8F93,1,1,True
17,Kem,1,Finland,#6E8F93,1,1,True
18,Iisalmi,1,Finland,#6E8F93,1,1,True
19,Kuusamo,1,Finland,#6E8F93,1,1,True
20,Loukhi,1,Finland,#6E8F93,1,1,True
21,Tetrino,1,Finland,#6E8F93,1,1,True
22,Kiruna,180,Sweden,#5D758B,180,180,True
23,Luleå,180,Sweden,#5D758B,180,180,True
24,Arjeborg,180,Sweden,#5D758B,180,180,True
25,Umeå,180,Sweden,#5D758B,180,180,True
26,Vilhelmina,180,Sweden,#5D758B,180,180,True
27,Östersund,180,Sweden,#5D758B,180,180,True
28,Stockholm,180,Sweden,#5D758B,180,180,True
29,Malmö,180,Sweden,#5D758B,180,180,True
30,Härnösand,180,Sweden,#5D758B,180,180,True
31,Falun,180,Sweden,#5D758B,180,180,True
32,Lofsdalen,180,Sweden,#5D758B,180,180,True
33,Mora,180,Sweden,#5D758B,180,180,True
34,Karlstad,180,Sweden,#5D758B,180,180,True
35,Gothenburg,180,Sweden,#5D758B,180,180,True
36,Linköping,180,Sweden,#5D758B,180,180,True
37,Växjö,180,Sweden,#5D758B,180,180,True
38,Visby,180,Sweden,#5D758B,180,180,True
39,Rosenheim,15,Germany,#93412F,15,15,True
40,Narvik,2,Norway,#678C6D,2,2,True
41,Brześć,5,Poland,#7D9081,5,5,True
42,Alta,2,Norway,#678C6D,2,2,True
43,Bodø,2,Norway,#678C6D,2,2,True
44,Steinkjer,2,Norway,#678C6D,2,2,True
45,Trondheim,2,Norway,#678C6D,2,2,True
46,Oslo,2,Norway,#678C6D,2,2,True
47,Dęblin,5,Poland,#7D9081,5,5,True
48,Hamar,2,Norway,#678C6D,2,2,True
49,Mazyr,3,Belarus,#608367,3,3,True
50,Bergen,2,Norway,#678C6D,2,2,True
51,Stryn,2,Norway,#678C6D,2,2,True
52,Rjukan,2,Norway,#678C6D,2,2,True
53,Kristiansand,2,Norway,#678C6D,2,2,True
54,Tallinn,4,Lithuania,#B7B079,4,4,True
55,Haapsalu,4,Lithuania,#B7B079,4,4,True
57,Bern,14,Switzerland,#8E6941,14,14,True
58,Pärnu,4,Lithuania,#B7B079,4,4,True
59,Valga,4,Lithuania,#B7B079,4,4,True
60,London,21,United Kingdom,#7A8054,21,21,True
61,Cēsis,4,Lithuania,#B7B079,4,4,True
62,Riga,4,Lithuania,#B7B079,4,4,True
63,Ludza,4,Lithuania,#B7B079,4,4,True
64,Daugavpils,4,Lithuania,#B7B079,4,4,True
65,Vilnius,4,Lithuania,#B7B079,4,4,True
66,Alytus,4,Lithuania,#B7B079,4,4,True
67,Kaunas,4,Lithuania,#B7B079,4,4,True
68,Tauragė,4,Lithuania,#B7B079,4,4,True
69,Klaipėda,4,Lithuania,#B7B079,4,4,True
70,Talsi,4,Lithuania,#B7B079,4,4,True
71,Athlone,22,Ireland,#90613D,22,22,True
72,Danzig,5,Poland,#7D9081,5,5,True
73,Bydgoszcz,5,Poland,#7D9081,5,5,True
74,Poznań,5,Poland,#7D9081,5,5,True
75,Warsaw,5,Poland,#7D9081,5,5,True
76,Łódź,5,Poland,#7D9081,5,5,True
77,Płock,5,Poland,#7D9081,5,5,True
78,Kraków,5,Poland,#7D9081,5,5,True
79,Lwów,5,Poland,#7D9081,5,5,True
80,Tarnów,5,Poland,#7D9081,5,5,True
81,Lublin,5,Poland,#7D9081,5,5,True
82,Kielce,5,Poland,#7D9081,5,5,True
83,Łomża,5,Poland,#7D9081,5,5,True
84,Wilno,5,Poland,#7D9081,5,5,True
85,Lida,5,Poland,#7D9081,5,5,True
86,Stanisławów,5,Poland,#7D9081,5,5,True
87,Brody,5,Poland,#7D9081,5,5,True
88,Sarny,5,Poland,#7D9081,5,5,True
89,Kowel,5,Poland,#7D9081,5,5,True
90,Edinburgh,21,United Kingdom,#7A8054,21,21,True
91,Lutsk,6,Ukraine,#F0CE8E,6,6,True
92,Kiev,6,Ukraine,#F0CE8E,6,6,True
93,Odessa,6,Ukraine,#F0CE8E,6,6,True
94,Salisbury,21,United Kingdom,#7A8054,21,21,True
95,Kharkiv,6,Ukraine,#F0CE8E,6,6,True
96,Stalino,6,Ukraine,#F0CE8E,6,6,True
97,Luhansk,6,Ukraine,#F0CE8E,6,6,True
98,Poltava,6,Ukraine,#F0CE8E,6,6,True
99,Cherkasy,6,Ukraine,#F0CE8E,6,6,True
100,Chernihiv,6,Ukraine,#F0CE8E,6,6,True
101,Zaporizhzhia,6,Ukraine,#F0CE8E,6,6,True
102,Dnipropetrovsk,6,Ukraine,#F0CE8E,6,6,True
103,Sevastopol,6,Ukraine,#F0CE8E,6,6,True
104,Melitopol,6,Ukraine,#F0CE8E,6,6,True
105,Kirovohrad,6,Ukraine,#F0CE8E,6,6,True
106,Vinnytsia,6,Ukraine,#F0CE8E,6,6,True
107,Lviv,6,Ukraine,#F0CE8E,6,6,True
108,Zhytomyr,6,Ukraine,#F0CE8E,6,6,True
109,Mykolayiv,6,Ukraine,#F0CE8E,6,6,True
110,Ternopil,6,Ukraine,#F0CE8E,6,6,True
111,Uman,6,Ukraine,#F0CE8E,6,6,True
112,Korosten,6,Ukraine,#F0CE8E,6,6,True
113,Hamburg,15,Germany,#93412F,15,15,True
114,Kiel,15,Germany,#93412F,15,15,True
115,Dresden,15,Germany,#93412F,15,15,True
116,Berlin,15,Germany,#93412F,15,15,True
117,Cologne,15,Germany,#93412F,15,15,True
118,Munich,15,Germany,#93412F,15,15,True
119,Osnabrück,15,Germany,#93412F,15,15,True
120,Bremen,15,Germany,#93412F,15,15,True
121,Hannover,15,Germany,#93412F,15,15,True
122,Rostock,15,Germany,#93412F,15,15,True
123,Stettin,15,Germany,#93412F,15,15,True
124,Kolberg,15,Germany,#93412F,15,15,True
125,Königsberg,15,Germany,#93412F,15,15,True
126,Küstrin,15,Germany,#93412F,15,15,True
127,Magdeburg,15,Germany,#93412F,15,15,True
128,Oppeln,15,Germany,#93412F,15,15,True
129,Breslau,15,Germany,#93412F,15,15,True
130,Leipzig,15,Germany,#93412F,15,15,True
131,Düsseldorf,15,Germany,#93412F,15,15,True
132,Frankfurt,15,Germany,#93412F,15,15,True
133,Stuttgart,15,Germany,#93412F,15,15,True
134,Saarbrücken,15,Germany,#93412F,15,15,True
135,Freiburg,15,Germany,#93412F,15,15,True
136,Augsburg,15,Germany,#93412F,15,15,True
137,Nuremberg,15,Germany,#93412F,15,15,True
138,Würzburg,15,Germany,#93412F,15,15,True
139,Kassel,15,Germany,#93412F,15,15,True
140,Erfurt,15,Germany,#93412F,15,15,True
141,Mogilev,3,Belarus,#608367,3,3,True
142,Gomel,3,Belarus,#608367,3,3,True
143,Esbjerg,181,Denmark,#BE8C28,181,181,True
144,Rock Springs,45,Colorado,#6990A4,45,45,True
145,Frederikshavn,181,Denmark,#BE8C28,181,181,True
146,Žlobin,3,Belarus,#608367,3,3,True
147,Babruysk,3,Belarus,#608367,3,3,True
148,Przemyśl,5,Poland,#7D9081,5,5,True
