province_id,name,resource_1_food,resource_3_manpower,resource_4_metal,resource_5_oil,resource_20_money
0,Las Palmas,0,450.0,0,0,600.0
1,Murmansk,6000.0,600.0,0,0,6000.0
2,Apatity,0,450.0,0,0,600.0
3,Ivalo,0,150.0,0,1500.0,900.0
4,Enontekiö,0,450.0,0,0,600.0
5,Rovaniemi,0,450.0,0,0,600.0
6,Oulu,6000.0,600.0,0,0,6000.0
7,Kokkola,0,450.0,0,0,600.0
8,Vaasa,0,600.0,6000.0,0,6000.0
9,Pori,0,150.0,0,1500.0,900.0
10,Manchester,6000.0,600.0,0,0,6000.0
11,Turku,1500.0,150.0,0,0,900.0
12,Jyväskylä,0,150.0,0,1500.0,900.0
13,Tampere,0,600.0,6000.0,0,6000.0
14,Helsinki,0,600.0,0,6000.0,6000.0
15,Lappeenranta,0,150.0,0,1500.0,900.0
16,Joensuu,0,450.0,0,0,600.0
17,Kem,0,450.0,0,0,600.0
18,Iisalmi,0,150.0,1500.0,0,900.0
19,Kuusamo,0,450.0,0,0,600.0
20,Loukhi,0,450.0,0,0,600.0
21,Tetrino,0,450.0,0,0,600.0
22,Kiruna,0,450.0,0,0,600.0
23,Luleå,6000.0,600.0,0,0,6000.0
24,Arjeborg,0,150.0,0,1500.0,900.0
25,Umeå,1500.0,150.0,0,0,900.0
26,Vilhelmina,0,600.0,6000.0,0,6000.0
27,Östersund,0,600.0,0,6000.0,6000.0
28,Stockholm,0,600.0,0,6000.0,6000.0
29,Malmö,6000.0,600.0,0,0,6000.0
30,Härnösand,0,450.0,0,0,600.0
31,Falun,0,450.0,0,0,600.0
32,Lofsdalen,0,450.0,0,0,600.0
33,Mora,0,150.0,1500.0,0,900.0
34,Karlstad,0,450.0,0,0,600.0
35,Gothenburg,0,450.0,0,0,600.0
36,Linköping,0,150.0,1500.0,0,900.0
37,Växjö,0,150.0,1500.0,0,900.0
38,Visby,0,450.0,0,0,600.0
39,Rosenheim,0,450.0,0,0,600.0
40,Narvik,0,450.0,0,0,600.0
41,Brześć,1500.0,150.0,0,0,900.0
42,Alta,0,450.0,0,0,600.0
43,Bodø,0,450.0,0,0,600.0
44,Steinkjer,0,450.0,0,0,600.0
45,Trondheim,0,450.0,0,0,600.0
46,Oslo,0,600.0,0,6000.0,6000.0
47,Dęblin,0,450.0,0,0,600.0
48,Hamar,0,450.0,0,0,600.0
49,Mazyr,1500.0,150.0,0,0,900.0
50,Bergen,0,450.0,0,0,600.0
51,Stryn,0,450.0,0,0,600.0
52,Rjukan,0,450.0,0,0,600.0
53,Kristiansand,0,450.0,0,0,600.0
54,Tallinn,0,450.0,0,0,600.0
55,Haapsalu,0,450.0,0,0,600.0
57,Bern,0,450.0,0,0,600.0
58,Pärnu,0,450.0,0,0,600.0
59,Valga,0,450.0,0,0,600.0
60,London,0,600.0,6000.0,0,6000.0
61,Cēsis,0,450.0,0,0,600.0
62,Riga,0,600.0,0,6000.0,6000.0
63,Ludza,0,150.0,0,1500.0,900.0
64,Daugavpils,1500.0,150.0,0,0,900.0
65,Vilnius,0,450.0,0,0,600.0
66,Alytus,0,150.0,1500.0,0,900.0
67,Kaunas,0,450.0,0,0,600.0
68,Tauragė,1500.0,150.0,0,0,900.0
69,Klaipėda,0,450.0,0,0,600.0
70,Talsi,0,150.0,1500.0,0,900.0
71,Athlone,0,450.0,0,0,600.0
72,Danzig,0,600.0,6000.0,0,6000.0
73,Bydgoszcz,0,150.0,0,1500.0,900.0
74,Poznań,0,150.0,0,1500.0,900.0
75,Warsaw,6000.0,600.0,0,0,6000.0
76,Łódź,0,450.0,0,0,600.0
77,Płock,0,150.0,1500.0,0,900.0
78,Kraków,0,600.0,6000.0,0,6000.0
79,Lwów,6000.0,600.0,0,0,6000.0
80,Tarnów,0,450.0,0,0,600.0
81,Lublin,0,450.0,0,0,600.0
82,Kielce,0,450.0,0,0,600.0
83,Łomża,0,150.0,0,1500.0,900.0
84,Wilno,0,450.0,0,0,600.0
85,Lida,0,450.0,0,0,600.0
86,Stanisławów,0,150.0,0,1500.0,900.0
87,Brody,0,450.0,0,0,600.0
88,Sarny,0,450.0,0,0,600.0
89,Kowel,0,450.0,0,0,600.0
90,Edinburgh,0,600.0,6000.0,0,6000.0
91,Lutsk,0,150.0,1500.0,0,900.0
92,Kiev,0,600.0,0,6000.0,6000.0
93,Odessa,6000.0,600.0,0,0,6000.0
94,Salisbury,0,450.0,0,0,600.0
95,Kharkiv,6000.0,600.0,0,0,6000.0
96,Stalino,0,600.0,6000.0,0,6000.0
97,Luhansk,0,450.0,0,0,600.0
98,Poltava,0,450.0,0,0,600.0
99,Cherkasy,0,450.0,0,0,600.0
100,Chernihiv,0,450.0,0,0,600.0
101,Zaporizhzhia,0,450.0,0,0,600.0
102,Dnipropetrovsk,0,150.0,0,1500.0,900.0
103,Sevastopol,1500.0,150.0,0,0,900.0
104,Melitopol,0,450.0,0,0,600.0
105,Kirovohrad,0,600.0,6000.0,0,6000.0
106,Vinnytsia,0,450.0,0,0,600.0
107,Lviv,0,450.0,0,0,600.0
108,Zhytomyr,0,450.0,0,0,600.0
109,Mykolayiv,0,150.0,0,1500.0,900.0
