province_id,name,center_x,center_y,component_count,core_country_ids,initial_owner_id,initial_owner_name,initial_owner_color,terrain_type_id,terrain_type,visual_terrain_tag,population,victory_points,coastal_flag,region_ids,region_names,raw_resource_code_r,raw_resource_field_bp,explicit_terrain_marker_count
0,Las Palmas,6140.0,2667.0,1,24,24,Spain,#CCA373,10,Plains,Mediterranean,5000,0,True,0,Europe,1,,0
1,Murmansk,7392.0,698.0,1,1,1,Finland,#6E8F93,14,Urban,Boreal,366762,10,True,0,Europe,2,1558,0
2,Apatity,7454.0,810.0,1,1,1,Finland,#6E8F93,11,Hills,Tundra,58040,0,True,0,Europe,1,,0
3,Ivalo,7248.0,742.0,1,1,1,Finland,#6E8F93,11,Hills,Boreal,81766,0,True,0,Europe,6,1747,0
4,Enontekiö,7137.0,748.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,60405,0,False,0,Europe,1,,0
5,Rovaniemi,7183.0,869.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,38722,0,True,0,Europe,1,,0
6,Oulu,7190.0,935.0,1,1,1,Finland,#6E8F93,14,Urban,Boreal,174085,10,True,0,Europe,2,3282,0
7,Kokkola,7114.0,1023.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,88662,0,True,0,Europe,1,,0
8,Vaasa,7069.0,1085.0,1,1,1,Finland,#6E8F93,14,Urban,Boreal,194162,10,True,0,Europe,5,2943,0
9,Pori,7076.0,1158.0,1,1,1,Finland,#6E8F93,10,Plains,Boreal,65365,0,True,0,Europe,6,2186,0
10,Manchester,5955.0,1604.0,1,21,21,United Kingdom,#7A8054,14,Urban,,258336,10,False,0,Europe,2,2212,0
11,Turku,7090.0,1256.0,2,1,1,Finland,#6E8F93,10,Plains,,47965,0,True,0,Europe,2,2978,0
12,Jyväskylä,7189.0,1095.0,1,1,1,Finland,#6E8F93,10,Plains,Boreal,43119,0,False,0,Europe,6,3313,0
13,Tampere,7146.0,1197.0,1,1,1,Finland,#6E8F93,14,Urban,,58750,10,False,0,Europe,5,9726,0
14,Helsinki,7198.0,1267.0,1,1,1,Finland,#6E8F93,14,Urban,,307562,10,True,0,Europe,6,1858,0
15,Lappeenranta,7311.0,1217.0,1,1,1,Finland,#6E8F93,10,Plains,Boreal,57221,0,True,0,Europe,6,2497,0
16,Joensuu,7365.0,1106.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,71934,0,False,0,Europe,1,,0
17,Kem,7423.0,972.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,61452,0,True,0,Europe,1,,0
18,Iisalmi,7293.0,1048.0,1,1,1,Finland,#6E8F93,11,Hills,Boreal,71778,0,False,0,Europe,5,1990,0
19,Kuusamo,7296.0,905.0,1,1,1,Finland,#6E8F93,13,Forest,Boreal,84394,0,False,0,Europe,1,,0
20,Loukhi,7351.0,885.0,1,1,1,Finland,#6E8F93,10,Plains,Boreal,75189,0,True,0,Europe,1,,0
21,Tetrino,7561.0,882.0,1,1,1,Finland,#6E8F93,10,Plains,Tundra,82864,0,True,0,Europe,1,,0
22,Kiruna,7040.0,767.0,1,180,180,Sweden,#5D758B,13,Forest,Boreal,57216,0,False,0,Europe,1,,0
23,Luleå,7082.0,871.0,1,180,180,Sweden,#5D758B,14,Urban,Boreal,366049,10,True,0,Europe,2,1561,0
24,Arjeborg,6945.0,869.0,1,180,180,Sweden,#5D758B,12,Mountain,Boreal,57505,0,False,0,Europe,6,2484,14
25,Umeå,7038.0,992.0,1,180,180,Sweden,#5D758B,10,Plains,Boreal,73619,0,True,0,Europe,2,1940,0
26,Vilhelmina,6926.0,957.0,1,180,180,Sweden,#5D758B,14,Urban,Boreal,75259,10,False,0,Europe,5,7593,0
27,Östersund,6872.0,1051.0,1,180,180,Sweden,#5D758B,14,Urban,Boreal,193277,10,False,0,Europe,6,2957,0
28,Stockholm,6971.0,1322.0,1,180,180,Sweden,#5D758B,14,Urban,,181515,10,True,0,Europe,6,3148,0
29,Malmö,6770.0,1568.0,1,180,180,Sweden,#5D758B,14,Urban,,332025,10,True,0,Europe,2,1721,0
30,Härnösand,6956.0,1099.0,1,180,180,Sweden,#5D758B,13,Forest,Boreal,89048,0,True,0,Europe,1,,0
31,Falun,6910.0,1217.0,1,180,180,Sweden,#5D758B,13,Forest,Boreal,51883,0,True,0,Europe,1,,0
32,Lofsdalen,6797.0,1119.0,1,180,180,Sweden,#5D758B,11,Hills,Boreal,59059,0,False,0,Europe,1,,0
33,Mora,6848.0,1199.0,1,180,180,Sweden,#5D758B,10,Plains,Boreal,43791,0,False,0,Europe,5,3262,0
