segment_id,province_id,province_name,neighbor_province_id,neighbor_province_name,boundary_kind,edge_count,length
0,0,Las Palmas,,,coastline,14,131.3562168047512
1,1,Murmansk,,,coastline,11,72.07138396081979
2,1,Murmansk,2,Apatity,same_core_shared_border,4,60.09526623988508
3,1,Murmansk,3,Ivalo,same_core_shared_border,5,84.87887861627071
4,2,Apatity,1,Murmansk,same_core_shared_border,4,60.09526623988508
5,2,Apatity,,,coastline,11,163.3728918959071
6,2,Apatity,21,Tetrino,same_core_shared_border,9,201.7866932503594
7,2,Apatity,,,coastline,25,150.6582516667678
8,2,Apatity,20,Loukhi,same_core_shared_border,3,25.612856801919357
9,2,Apatity,5,Rovaniemi,same_core_shared_border,2,27.85298287963419
10,2,Apatity,3,Ivalo,same_core_shared_border,4,86.0702215205821
11,3,Ivalo,42,Alta,different_core_shared_border,15,138.19833355694612
12,3,Ivalo,,,coastline,49,308.79090200553185
13,3,Ivalo,1,Murmansk,same_core_shared_border,5,84.87887861627071
14,3,Ivalo,2,Apatity,same_core_shared_border,4,86.0702215205821
15,3,Ivalo,5,Rovaniemi,same_core_shared_border,1,81.30190649671138
16,3,Ivalo,4,Enontekiö,same_core_shared_border,8,125.13116714007442
17,4,Enontekiö,42,Alta,different_core_shared_border,8,124.46413569588705
18,4,Enontekiö,3,Ivalo,same_core_shared_border,8,125.13116714007442
19,4,Enontekiö,5,Rovaniemi,same_core_shared_border,10,144.98215172919978
20,4,Enontekiö,22,Kiruna,different_core_shared_border,10,191.30697617670734
21,5,Rovaniemi,3,Ivalo,same_core_shared_border,1,81.30190649671138
22,5,Rovaniemi,2,Apatity,same_core_shared_border,2,27.85298287963419
23,5,Rovaniemi,20,Loukhi,same_core_shared_border,4,79.88277506758241
24,5,Rovaniemi,19,Kuusamo,same_core_shared_border,7,108.61865060520837
25,5,Rovaniemi,,,coastline,1,7.615773105863909
26,5,Rovaniemi,6,Oulu,same_core_shared_border,6,56.31217452879631
27,5,Rovaniemi,,,coastline,10,57.52771916340448
28,5,Rovaniemi,22,Kiruna,different_core_shared_border,4,14.81913190966076
29,5,Rovaniemi,4,Enontekiö,same_core_shared_border,10,144.98215172919978
30,6,Oulu,5,Rovaniemi,same_core_shared_border,6,56.31217452879631
31,6,Oulu,,,coastline,2,13.779271744364845
32,6,Oulu,7,Kokkola,same_core_shared_border,12,95.6479814638271
33,6,Oulu,,,coastline,14,60.10758074305193
34,7,Kokkola,6,Oulu,same_core_shared_border,12,95.6479814638271
